symbol,name,asset_type,exchange,source,is_etf
SPY,SPDR S&P 500 ETF Trust,etf,NYSEARCA,core-etf-seed+sec-company-tickers+nasdaq-trader,true
QQQ,Invesco QQQ Trust,etf,NYSEARCA,core-etf-seed+sec-company-tickers+nasdaq-trader,true
IWM,iShares Russell 2000 ETF,etf,NYSEARCA,core-etf-seed+nasdaq-trader,true
DIA,SPDR Dow Jones Industrial Average ETF,etf,NYSEARCA,core-etf-seed+sec-company-tickers+nasdaq-trader,true
VTI,Vanguard Total Stock Market ETF,etf,NYSEARCA,core-etf-seed+nasdaq-trader,true
XLK,Technology Select Sector SPDR Fund,etf,NYSEARCA,core-etf-seed+nasdaq-trader,true
XLF,Financial Select Sector SPDR Fund,etf,NYSEARCA,core-etf-seed+nasdaq-trader,true
XLV,Health Care Select Sector SPDR Fund,etf,NYSEARCA,core-etf-seed+nasdaq-trader,true
XLY,Consumer Discretionary Select Sector SPDR Fund,etf,NYSEARCA,core-etf-seed+nasdaq-trader,true
XLI,Industrial Select Sector SPDR Fund,etf,NYSEARCA,core-etf-seed+nasdaq-trader,true
NVDA,NVIDIA CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
GOOGL,Alphabet Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
AAPL,Apple Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MSFT,MICROSOFT CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
AMZN,AMAZON COM INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
AVGO,Broadcom Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
TSLA,"Tesla, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
META,"Meta Platforms, Inc.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
BRK-B,BERKSHIRE HATHAWAY INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
MU,MICRON TECHNOLOGY INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
LLY,ELI LILLY & Co,stock,NYSE,sec-company-tickers+nasdaq-trader,false
WMT,Walmart Inc.,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
JPM,JPMORGAN CHASE & CO,stock,NYSE,sec-company-tickers+nasdaq-trader,false
AMD,ADVANCED MICRO DEVICES INC,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ASML,ASML HOLDING NV,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
XOM,EXXON MOBIL CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
V,VISA INC.,stock,NYSE,sec-company-tickers+nasdaq-trader,false
INTC,INTEL CORP,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
ORCL,ORACLE CORP,stock,NYSE,sec-company-tickers+nasdaq-trader,false
JNJ,JOHNSON & JOHNSON,stock,NYSE,sec-company-tickers+nasdaq-trader,false
CSCO,"CISCO SYSTEMS, INC.",stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
COST,COSTCO WHOLESALE CORP /NEW,stock,Nasdaq,sec-company-tickers+nasdaq-trader,false
MA,Mastercard Inc,stock,NYSE,sec-company-tickers+nasdaq-trader,false
CAT,CATERPILLAR INC,stock,NYSE,sec-company-tickers+nasdaq-trader,false
